nohup: ignoring input
(128, 128, 128)
['Mean', 'Std']
[ 1.5051472  1.6262238  2.3319495 ... 84.5323    83.30754   82.092224 ]
[2.9573436 3.2315547 3.5197277 ... 1.6526191 1.3501669 1.16584  ]
cuda
Training started
 28%|██▊       | 85/301 [31:27<1:18:31, 21.81s/it]Epoch 85 | Loss: 0.000001 | LR: 0.000016
 29%|██▊       | 86/301 [31:49<1:18:32, 21.92s/it]Epoch 86 | Loss: 0.000001 | LR: 0.000016
 29%|██▉       | 87/301 [32:11<1:18:13, 21.93s/it]Epoch 87 | Loss: 0.000004 | LR: 0.000016
 29%|██▉       | 88/301 [32:33<1:18:03, 21.99s/it]Epoch 88 | Loss: 0.000000 | LR: 0.000016
 30%|██▉       | 89/301 [32:57<1:19:12, 22.42s/it]Epoch 89 | Loss: 0.000001 | LR: 0.000013
 30%|██▉       | 90/301 [33:20<1:20:13, 22.81s/it]Epoch 90 | Loss: 0.000000 | LR: 0.000013
 30%|███       | 91/301 [33:43<1:19:20, 22.67s/it]Epoch 91 | Loss: 0.000001 | LR: 0.000013
 31%|███       | 92/301 [34:05<1:18:21, 22.50s/it]Epoch 92 | Loss: 0.000000 | LR: 0.000013
 31%|███       | 93/301 [34:27<1:17:32, 22.37s/it]Epoch 93 | Loss: 0.000001 | LR: 0.000013
 31%|███       | 94/301 [34:49<1:17:05, 22.35s/it]Epoch 94 | Loss: 0.000000 | LR: 0.000013
 32%|███▏      | 95/301 [35:10<1:15:32, 22.00s/it]Epoch 95 | Loss: 0.000000 | LR: 0.000013
 32%|███▏      | 96/301 [35:33<1:15:19, 22.05s/it]Epoch 96 | Loss: 0.000000 | LR: 0.000013
 32%|███▏      | 97/301 [35:55<1:15:04, 22.08s/it]Epoch 97 | Loss: 0.000000 | LR: 0.000013
 33%|███▎      | 98/301 [36:17<1:14:46, 22.10s/it]Epoch 98 | Loss: 0.000000 | LR: 0.000013
 33%|███▎      | 99/301 [36:39<1:14:31, 22.14s/it]Epoch 99 | Loss: 0.000000 | LR: 0.000013
 33%|███▎      | 100/301 [37:01<1:14:16, 22.17s/it]Epoch 100 | Loss: 0.000000 | LR: 0.000013
 34%|███▎      | 101/301 [37:24<1:13:55, 22.18s/it]Epoch 101 | Loss: 0.000001 | LR: 0.000013
 34%|███▍      | 102/301 [37:46<1:13:42, 22.23s/it]Epoch 102 | Loss: 0.000000 | LR: 0.000013
 34%|███▍      | 103/301 [38:08<1:13:29, 22.27s/it]Epoch 103 | Loss: 0.000000 | LR: 0.000013
 35%|███▍      | 104/301 [38:31<1:13:18, 22.33s/it]Epoch 104 | Loss: 0.000000 | LR: 0.000010
 35%|███▍      | 105/301 [38:53<1:13:11, 22.40s/it]Epoch 105 | Loss: 0.000000 | LR: 0.000010
 35%|███▌      | 106/301 [39:16<1:13:01, 22.47s/it]Epoch 106 | Loss: 0.000000 | LR: 0.000010
 36%|███▌      | 107/301 [39:38<1:12:28, 22.42s/it]Epoch 107 | Loss: 0.000000 | LR: 0.000010
 36%|███▌      | 108/301 [40:01<1:12:06, 22.41s/it]Epoch 108 | Loss: 0.000000 | LR: 0.000010
 36%|███▌      | 109/301 [40:23<1:11:37, 22.38s/it]Epoch 109 | Loss: 0.000000 | LR: 0.000010
 37%|███▋      | 110/301 [40:44<1:09:51, 21.95s/it]Epoch 110 | Loss: 0.000001 | LR: 0.000010
 37%|███▋      | 111/301 [41:06<1:09:53, 22.07s/it]Epoch 111 | Loss: 0.000000 | LR: 0.000010
 37%|███▋      | 112/301 [41:29<1:09:50, 22.17s/it]Epoch 112 | Loss: 0.000000 | LR: 0.000010
 38%|███▊      | 113/301 [41:50<1:09:06, 22.05s/it]Epoch 113 | Loss: 0.000000 | LR: 0.000010
 38%|███▊      | 114/301 [42:13<1:09:09, 22.19s/it]Epoch 114 | Loss: 0.000000 | LR: 0.000010
 38%|███▊      | 115/301 [42:35<1:08:40, 22.15s/it]Epoch 115 | Loss: 0.000000 | LR: 0.000010
 39%|███▊      | 116/301 [42:57<1:07:45, 21.98s/it]Epoch 116 | Loss: 0.000000 | LR: 0.000010
 39%|███▉      | 117/301 [43:19<1:07:31, 22.02s/it]Epoch 117 | Loss: 0.000000 | LR: 0.000010
 39%|███▉      | 118/301 [43:41<1:07:41, 22.19s/it]Epoch 118 | Loss: 0.000000 | LR: 0.000010
 40%|███▉      | 119/301 [44:03<1:06:28, 21.91s/it]Epoch 119 | Loss: 0.000000 | LR: 0.000008
 40%|███▉      | 120/301 [44:25<1:06:15, 21.96s/it]Epoch 120 | Loss: 0.000000 | LR: 0.000008
 40%|████      | 121/301 [44:47<1:06:05, 22.03s/it]Epoch 121 | Loss: 0.000000 | LR: 0.000008
 41%|████      | 122/301 [45:08<1:05:05, 21.82s/it]Epoch 122 | Loss: 0.000000 | LR: 0.000008
 41%|████      | 123/301 [45:30<1:04:41, 21.81s/it]Epoch 123 | Loss: 0.000000 | LR: 0.000008
 41%|████      | 124/301 [45:51<1:03:45, 21.62s/it]Epoch 124 | Loss: 0.000000 | LR: 0.000008
 42%|████▏     | 125/301 [46:12<1:03:03, 21.49s/it]Epoch 125 | Loss: 0.000000 | LR: 0.000008
 42%|████▏     | 126/301 [46:34<1:02:46, 21.52s/it]Epoch 126 | Loss: 0.000000 | LR: 0.000008
 42%|████▏     | 127/301 [46:56<1:02:45, 21.64s/it]Epoch 127 | Loss: 0.000000 | LR: 0.000008
 43%|████▎     | 128/301 [47:18<1:02:36, 21.72s/it]Epoch 128 | Loss: 0.000000 | LR: 0.000008
 43%|████▎     | 129/301 [47:39<1:01:52, 21.58s/it]Epoch 129 | Loss: 0.000000 | LR: 0.000008
 43%|████▎     | 130/301 [48:01<1:02:00, 21.76s/it]Epoch 130 | Loss: 0.000002 | LR: 0.000008
 44%|████▎     | 131/301 [48:24<1:02:32, 22.08s/it]Epoch 131 | Loss: 0.000000 | LR: 0.000008
 44%|████▍     | 132/301 [48:45<1:01:40, 21.90s/it]Epoch 132 | Loss: 0.000000 | LR: 0.000008
 44%|████▍     | 133/301 [49:07<1:00:44, 21.69s/it]Epoch 133 | Loss: 0.000000 | LR: 0.000008
 45%|████▍     | 134/301 [49:29<1:00:50, 21.86s/it]Epoch 134 | Loss: 0.000000 | LR: 0.000007
 45%|████▍     | 135/301 [49:51<1:00:43, 21.95s/it]Epoch 135 | Loss: 0.000000 | LR: 0.000007
 45%|████▌     | 136/301 [50:13<1:00:37, 22.05s/it]Epoch 136 | Loss: 0.000000 | LR: 0.000007
