 22%|██▏       | 44/200 [12:19<42:00, 16.16s/it]epoch:43 LOSS:0.000431  mean_loss:0.000079  std_loss:0.000200  weights_loss:0.001519  LR:0.000020
 22%|██▎       | 45/200 [12:35<41:32, 16.08s/it]epoch:44 LOSS:0.000430  mean_loss:0.000080  std_loss:0.000199  weights_loss:0.001519  LR:0.000020
 23%|██▎       | 46/200 [12:51<40:37, 15.83s/it]epoch:45 LOSS:0.000427  mean_loss:0.000078  std_loss:0.000198  weights_loss:0.001519  LR:0.000016
 24%|██▎       | 47/200 [13:07<40:42, 15.96s/it]epoch:46 LOSS:0.000419  mean_loss:0.000075  std_loss:0.000193  weights_loss:0.001519  LR:0.000016
 24%|██▍       | 48/200 [13:22<40:05, 15.82s/it]epoch:47 LOSS:0.000417  mean_loss:0.000073  std_loss:0.000192  weights_loss:0.001519  LR:0.000016
 24%|██▍       | 49/200 [13:38<39:29, 15.69s/it]epoch:48 LOSS:0.000417  mean_loss:0.000074  std_loss:0.000191  weights_loss:0.001519  LR:0.000016
 25%|██▌       | 50/200 [13:55<40:44, 16.29s/it]epoch:49 LOSS:0.000416  mean_loss:0.000073  std_loss:0.000191  weights_loss:0.001519  LR:0.000016
 26%|██▌       | 51/200 [14:11<40:06, 16.15s/it]epoch:50 LOSS:0.000415  mean_loss:0.000074  std_loss:0.000189  weights_loss:0.001519  LR:0.000016
 26%|██▌       | 52/200 [14:28<40:21, 16.36s/it]epoch:51 LOSS:0.000413  mean_loss:0.000072  std_loss:0.000189  weights_loss:0.001519  LR:0.000016
 26%|██▋       | 53/200 [14:45<40:28, 16.52s/it]epoch:52 LOSS:0.000414  mean_loss:0.000073  std_loss:0.000189  weights_loss:0.001519  LR:0.000013
 27%|██▋       | 54/200 [15:01<39:59, 16.43s/it]epoch:53 LOSS:0.000404  mean_loss:0.000068  std_loss:0.000184  weights_loss:0.001519  LR:0.000013
 28%|██▊       | 55/200 [15:17<39:25, 16.31s/it]epoch:54 LOSS:0.000402  mean_loss:0.000068  std_loss:0.000182  weights_loss:0.001519  LR:0.000013
 28%|██▊       | 56/200 [15:33<38:43, 16.14s/it]epoch:55 LOSS:0.000400  mean_loss:0.000067  std_loss:0.000181  weights_loss:0.001519  LR:0.000013
 28%|██▊       | 57/200 [15:50<39:23, 16.53s/it]epoch:56 LOSS:0.000404  mean_loss:0.000069  std_loss:0.000183  weights_loss:0.001519  LR:0.000010
 29%|██▉       | 58/200 [16:08<39:42, 16.78s/it]epoch:57 LOSS:0.000396  mean_loss:0.000065  std_loss:0.000179  weights_loss:0.001519  LR:0.000010
 30%|██▉       | 59/200 [16:24<38:51, 16.53s/it]epoch:58 LOSS:0.000392  mean_loss:0.000065  std_loss:0.000176  weights_loss:0.001519  LR:0.000010
