Epoch: 80/500 | Train Loss: 0.105948 | Time: 15.44s | LR: 6.7108864000000044e-06
Epoch: 81/500 | Train Loss: 0.105866 | Time: 16.57s | LR: 6.7108864000000044e-06
Epoch: 82/500 | Train Loss: 0.105777 | Time: 15.56s | LR: 6.7108864000000044e-06
Epoch: 83/500 | Train Loss: 0.105709 | Time: 15.62s | LR: 6.7108864000000044e-06
Epoch: 84/500 | Train Loss: 0.105631 | Time: 15.54s | LR: 6.7108864000000044e-06
Epoch: 85/500 | Train Loss: 0.105531 | Time: 15.52s | LR: 6.7108864000000044e-06
Epoch: 86/500 | Train Loss: 0.105458 | Time: 14.92s | LR: 6.7108864000000044e-06
Epoch: 87/500 | Train Loss: 0.105370 | Time: 14.52s | LR: 6.7108864000000044e-06
Epoch: 88/500 | Train Loss: 0.105297 | Time: 14.74s | LR: 6.7108864000000044e-06
Epoch: 89/500 | Train Loss: 0.105223 | Time: 15.27s | LR: 6.7108864000000044e-06
Epoch: 90/500 | Train Loss: 0.105150 | Time: 15.57s | LR: 6.7108864000000044e-06
Epoch: 91/500 | Train Loss: 0.105076 | Time: 17.42s | LR: 5.368709120000004e-06
Epoch: 92/500 | Train Loss: 0.104758 | Time: 17.2s | LR: 5.368709120000004e-06
Epoch: 93/500 | Train Loss: 0.104656 | Time: 16.89s | LR: 5.368709120000004e-06
Epoch: 94/500 | Train Loss: 0.104589 | Time: 15.76s | LR: 5.368709120000004e-06
Epoch: 95/500 | Train Loss: 0.104530 | Time: 15.86s | LR: 5.368709120000004e-06
Epoch: 96/500 | Train Loss: 0.104466 | Time: 15.6s | LR: 5.368709120000004e-06
Epoch: 97/500 | Train Loss: 0.104392 | Time: 15.28s | LR: 5.368709120000004e-06
Epoch: 98/500 | Train Loss: 0.104329 | Time: 15.99s | LR: 5.368709120000004e-06
Epoch: 99/500 | Train Loss: 0.104263 | Time: 15.48s | LR: 5.368709120000004e-06
Epoch: 100/500 | Train Loss: 0.104207 | Time: 15.01s | LR: 5.368709120000004e-06
Epoch: 101/500 | Train Loss: 0.104133 | Time: 15.74s | LR: 5.368709120000004e-06
Epoch: 102/500 | Train Loss: 0.104076 | Time: 16.35s | LR: 5.368709120000004e-06
Epoch: 103/500 | Train Loss: 0.104009 | Time: 15.86s | LR: 5.368709120000004e-06
Epoch: 104/500 | Train Loss: 0.103947 | Time: 14.7s | LR: 5.368709120000004e-06
Epoch: 105/500 | Train Loss: 0.103879 | Time: 15.16s | LR: 5.368709120000004e-06
Epoch: 106/500 | Train Loss: 0.103815 | Time: 15.18s | LR: 4.294967296000004e-06
Epoch: 107/500 | Train Loss: 0.103513 | Time: 14.0s | LR: 4.294967296000004e-06
Epoch: 108/500 | Train Loss: 0.103447 | Time: 16.09s | LR: 4.294967296000004e-06
Epoch: 109/500 | Train Loss: 0.103391 | Time: 15.41s | LR: 4.294967296000004e-06
Epoch: 110/500 | Train Loss: 0.103325 | Time: 14.99s | LR: 4.294967296000004e-06
Epoch: 111/500 | Train Loss: 0.103278 | Time: 15.44s | LR: 4.294967296000004e-06
Epoch: 112/500 | Train Loss: 0.103224 | Time: 15.17s | LR: 4.294967296000004e-06
Epoch: 113/500 | Train Loss: 0.103174 | Time: 15.88s | LR: 4.294967296000004e-06
Epoch: 114/500 | Train Loss: 0.103122 | Time: 15.8s | LR: 4.294967296000004e-06
Epoch: 115/500 | Train Loss: 0.103069 | Time: 15.9s | LR: 4.294967296000004e-06
Epoch: 116/500 | Train Loss: 0.103014 | Time: 15.45s | LR: 4.294967296000004e-06
Epoch: 117/500 | Train Loss: 0.102963 | Time: 15.86s | LR: 4.294967296000004e-06
Epoch: 118/500 | Train Loss: 0.102913 | Time: 15.52s | LR: 4.294967296000004e-06
Epoch: 119/500 | Train Loss: 0.102863 | Time: 16.66s | LR: 4.294967296000004e-06
Epoch: 120/500 | Train Loss: 0.102814 | Time: 15.04s | LR: 4.294967296000004e-06
Epoch: 121/500 | Train Loss: 0.102763 | Time: 16.38s | LR: 3.4359738368000033e-06
Epoch: 122/500 | Train Loss: 0.102483 | Time: 15.8s | LR: 3.4359738368000033e-06
Epoch: 123/500 | Train Loss: 0.102427 | Time: 16.57s | LR: 3.4359738368000033e-06
Epoch: 124/500 | Train Loss: 0.102382 | Time: 16.09s | LR: 3.4359738368000033e-06
Epoch: 125/500 | Train Loss: 0.102342 | Time: 15.27s | LR: 3.4359738368000033e-06
Epoch: 126/500 | Train Loss: 0.102293 | Time: 15.22s | LR: 3.4359738368000033e-06
Epoch: 127/500 | Train Loss: 0.102252 | Time: 14.79s | LR: 3.4359738368000033e-06
Epoch: 128/500 | Train Loss: 0.102210 | Time: 15.66s | LR: 3.4359738368000033e-06
Epoch: 129/500 | Train Loss: 0.102171 | Time: 14.62s | LR: 3.4359738368000033e-06
Epoch: 130/500 | Train Loss: 0.102126 | Time: 15.82s | LR: 3.4359738368000033e-06
Epoch: 131/500 | Train Loss: 0.102085 | Time: 16.79s | LR: 3.4359738368000033e-06
Epoch: 132/500 | Train Loss: 0.102038 | Time: 15.95s | LR: 3.4359738368000033e-06
Epoch: 133/500 | Train Loss: 0.102003 | Time: 15.27s | LR: 3.4359738368000033e-06
Epoch: 134/500 | Train Loss: 0.101959 | Time: 15.25s | LR: 3.4359738368000033e-06
Epoch: 135/500 | Train Loss: 0.101920 | Time: 15.91s | LR: 3.4359738368000033e-06
Epoch: 136/500 | Train Loss: 0.101882 | Time: 14.56s | LR: 2.7487790694400027e-06
Epoch: 137/500 | Train Loss: 0.101635 | Time: 15.12s | LR: 2.7487790694400027e-06
Epoch: 138/500 | Train Loss: 0.101593 | Time: 14.42s | LR: 2.7487790694400027e-06
Epoch: 139/500 | Train Loss: 0.101555 | Time: 15.21s | LR: 2.7487790694400027e-06
Epoch: 140/500 | Train Loss: 0.101520 | Time: 14.73s | LR: 2.7487790694400027e-06
Epoch: 141/500 | Train Loss: 0.101488 | Time: 14.46s | LR: 2.7487790694400027e-06
Epoch: 142/500 | Train Loss: 0.101454 | Time: 15.66s | LR: 2.7487790694400027e-06
Epoch: 143/500 | Train Loss: 0.101420 | Time: 15.09s | LR: 2.7487790694400027e-06
Epoch: 144/500 | Train Loss: 0.101381 | Time: 15.93s | LR: 2.7487790694400027e-06
Epoch: 145/500 | Train Loss: 0.101349 | Time: 14.21s | LR: 2.7487790694400027e-06
Epoch: 146/500 | Train Loss: 0.101324 | Time: 14.9s | LR: 2.7487790694400027e-06
Epoch: 147/500 | Train Loss: 0.101285 | Time: 15.58s | LR: 2.7487790694400027e-06
Epoch: 148/500 | Train Loss: 0.101250 | Time: 14.96s | LR: 2.7487790694400027e-06
Epoch: 149/500 | Train Loss: 0.101221 | Time: 15.87s | LR: 2.7487790694400027e-06
Epoch: 150/500 | Train Loss: 0.101188 | Time: 15.76s | LR: 2.7487790694400027e-06
Epoch: 151/500 | Train Loss: 0.101153 | Time: 15.95s | LR: 2.1990232555520023e-06
Epoch: 152/500 | Train Loss: 0.100936 | Time: 16.44s | LR: 2.1990232555520023e-06
Epoch: 153/500 | Train Loss: 0.100898 | Time: 15.3s | LR: 2.1990232555520023e-06
Epoch: 154/500 | Train Loss: 0.100872 | Time: 16.24s | LR: 2.1990232555520023e-06
Epoch: 155/500 | Train Loss: 0.100845 | Time: 16.34s | LR: 2.1990232555520023e-06
Epoch: 156/500 | Train Loss: 0.100821 | Time: 14.96s | LR: 2.1990232555520023e-06
Epoch: 157/500 | Train Loss: 0.100786 | Time: 14.27s | LR: 2.1990232555520023e-06
Epoch: 158/500 | Train Loss: 0.100764 | Time: 15.71s | LR: 2.1990232555520023e-06
Epoch: 159/500 | Train Loss: 0.100734 | Time: 15.15s | LR: 2.1990232555520023e-06
Epoch: 160/500 | Train Loss: 0.100703 | Time: 15.71s | LR: 2.1990232555520023e-06
Epoch: 161/500 | Train Loss: 0.100682 | Time: 15.2s | LR: 2.1990232555520023e-06
Epoch: 162/500 | Train Loss: 0.100655 | Time: 15.22s | LR: 2.1990232555520023e-06
Epoch: 163/500 | Train Loss: 0.100630 | Time: 14.62s | LR: 2.1990232555520023e-06
Epoch: 164/500 | Train Loss: 0.100600 | Time: 16.14s | LR: 2.1990232555520023e-06
Epoch: 165/500 | Train Loss: 0.100574 | Time: 15.01s | LR: 2.1990232555520023e-06
Epoch: 166/500 | Train Loss: 0.100548 | Time: 15.13s | LR: 1.7592186044416019e-06
Epoch: 167/500 | Train Loss: 0.100361 | Time: 14.49s | LR: 1.7592186044416019e-06
Epoch: 168/500 | Train Loss: 0.100331 | Time: 14.87s | LR: 1.7592186044416019e-06
Epoch: 169/500 | Train Loss: 0.100306 | Time: 14.8s | LR: 1.7592186044416019e-06
Epoch: 170/500 | Train Loss: 0.100288 | Time: 15.62s | LR: 1.7592186044416019e-06
Epoch: 171/500 | Train Loss: 0.100262 | Time: 15.04s | LR: 1.7592186044416019e-06
Epoch: 172/500 | Train Loss: 0.100242 | Time: 13.73s | LR: 1.7592186044416019e-06
Epoch: 173/500 | Train Loss: 0.100226 | Time: 14.71s | LR: 1.7592186044416019e-06
Epoch: 174/500 | Train Loss: 0.100200 | Time: 16.29s | LR: 1.7592186044416019e-06
Epoch: 175/500 | Train Loss: 0.100183 | Time: 15.79s | LR: 1.7592186044416019e-06
Epoch: 176/500 | Train Loss: 0.100152 | Time: 14.88s | LR: 1.7592186044416019e-06
Epoch: 177/500 | Train Loss: 0.100130 | Time: 15.53s | LR: 1.7592186044416019e-06
Epoch: 178/500 | Train Loss: 0.100115 | Time: 15.12s | LR: 1.7592186044416019e-06
Epoch: 179/500 | Train Loss: 0.100097 | Time: 15.75s | LR: 1.7592186044416019e-06
Epoch: 180/500 | Train Loss: 0.100073 | Time: 16.3s | LR: 1.7592186044416019e-06
Epoch: 181/500 | Train Loss: 0.100050 | Time: 15.61s | LR: 1.4073748835532816e-06
Epoch: 182/500 | Train Loss: 0.099891 | Time: 15.47s | LR: 1.4073748835532816e-06
Epoch: 183/500 | Train Loss: 0.099862 | Time: 15.57s | LR: 1.4073748835532816e-06
Epoch: 184/500 | Train Loss: 0.099853 | Time: 15.91s | LR: 1.4073748835532816e-06
Epoch: 185/500 | Train Loss: 0.099831 | Time: 14.86s | LR: 1.4073748835532816e-06
Epoch: 186/500 | Train Loss: 0.099815 | Time: 16.69s | LR: 1.4073748835532816e-06
Epoch: 187/500 | Train Loss: 0.099797 | Time: 15.43s | LR: 1.4073748835532816e-06
Epoch: 188/500 | Train Loss: 0.099778 | Time: 15.7s | LR: 1.4073748835532816e-06
Epoch: 189/500 | Train Loss: 0.099762 | Time: 15.18s | LR: 1.4073748835532816e-06
Epoch: 190/500 | Train Loss: 0.099748 | Time: 14.06s | LR: 1.4073748835532816e-06
Epoch: 191/500 | Train Loss: 0.099725 | Time: 15.51s | LR: 1.4073748835532816e-06
