Epoch: 59/1000 | Train Loss: 0.000884 | Time: 14.36s | LR: 4.123168604160003e-06
Epoch: 60/1000 | Train Loss: 0.000880 | Time: 14.2s | LR: 4.123168604160003e-06
Epoch: 61/1000 | Train Loss: 0.000879 | Time: 13.9s | LR: 4.123168604160003e-06
Epoch: 62/1000 | Train Loss: 0.000880 | Time: 13.82s | LR: 3.2985348833280024e-06
Epoch: 63/1000 | Train Loss: 0.000876 | Time: 14.66s | LR: 3.2985348833280024e-06
Epoch: 64/1000 | Train Loss: 0.000876 | Time: 14.49s | LR: 3.2985348833280024e-06
Epoch: 65/1000 | Train Loss: 0.000876 | Time: 15.16s | LR: 3.2985348833280024e-06
Epoch: 66/1000 | Train Loss: 0.000874 | Time: 14.43s | LR: 2.638827906662402e-06
Epoch: 67/1000 | Train Loss: 0.000872 | Time: 14.45s | LR: 2.638827906662402e-06
Epoch: 68/1000 | Train Loss: 0.000872 | Time: 14.15s | LR: 2.638827906662402e-06
Epoch: 69/1000 | Train Loss: 0.000871 | Time: 14.15s | LR: 2.638827906662402e-06
Epoch: 70/1000 | Train Loss: 0.000871 | Time: 13.65s | LR: 2.111062325329922e-06
Epoch: 71/1000 | Train Loss: 0.000869 | Time: 13.91s | LR: 2.111062325329922e-06
Epoch: 72/1000 | Train Loss: 0.000869 | Time: 13.65s | LR: 2.111062325329922e-06
Epoch: 73/1000 | Train Loss: 0.000869 | Time: 14.26s | LR: 1.6888498602639376e-06
Epoch: 74/1000 | Train Loss: 0.000867 | Time: 14.38s | LR: 1.6888498602639376e-06
Epoch: 75/1000 | Train Loss: 0.000867 | Time: 14.53s | LR: 1.6888498602639376e-06
Epoch: 76/1000 | Train Loss: 0.000866 | Time: 14.39s | LR: 1.6888498602639376e-06
Epoch: 77/1000 | Train Loss: 0.000865 | Time: 14.26s | LR: 1.6888498602639376e-06
Epoch: 78/1000 | Train Loss: 0.000866 | Time: 14.82s | LR: 1.3510798882111502e-06
Epoch: 79/1000 | Train Loss: 0.000864 | Time: 14.06s | LR: 1.0808639105689203e-06
Epoch: 80/1000 | Train Loss: 0.000863 | Time: 13.9s | LR: 1.0808639105689203e-06
Epoch: 81/1000 | Train Loss: 0.000863 | Time: 13.85s | LR: 1.0808639105689203e-06
Epoch: 82/1000 | Train Loss: 0.000862 | Time: 14.2s | LR: 1.0808639105689203e-06
Epoch: 83/1000 | Train Loss: 0.000862 | Time: 14.36s | LR: 8.646911284551363e-07
Epoch: 84/1000 | Train Loss: 0.000861 | Time: 14.14s | LR: 8.646911284551363e-07
Epoch: 85/1000 | Train Loss: 0.000861 | Time: 15.21s | LR: 8.646911284551363e-07
Epoch: 86/1000 | Train Loss: 0.000861 | Time: 15.01s | LR: 8.646911284551363e-07
Epoch: 87/1000 | Train Loss: 0.000861 | Time: 14.98s | LR: 8.646911284551363e-07
Epoch: 88/1000 | Train Loss: 0.000860 | Time: 14.69s | LR: 8.646911284551363e-07
Epoch: 89/1000 | Train Loss: 0.000860 | Time: 14.23s | LR: 8.646911284551363e-07
Epoch: 90/1000 | Train Loss: 0.000860 | Time: 13.89s | LR: 8.646911284551363e-07
Epoch: 91/1000 | Train Loss: 0.000860 | Time: 14.14s | LR: 8.646911284551363e-07
Epoch: 92/1000 | Train Loss: 0.000859 | Time: 14.54s | LR: 6.917529027641091e-07
Epoch: 93/1000 | Train Loss: 0.000859 | Time: 14.17s | LR: 6.917529027641091e-07
Epoch: 94/1000 | Train Loss: 0.000859 | Time: 14.45s | LR: 5.534023222112873e-07
Epoch: 95/1000 | Train Loss: 0.000858 | Time: 15.38s | LR: 5.534023222112873e-07
Epoch: 96/1000 | Train Loss: 0.000858 | Time: 14.26s | LR: 5.534023222112873e-07
Epoch: 97/1000 | Train Loss: 0.000858 | Time: 13.93s | LR: 4.427218577690299e-07
Epoch: 98/1000 | Train Loss: 0.000857 | Time: 14.69s | LR: 4.427218577690299e-07
Epoch: 99/1000 | Train Loss: 0.000857 | Time: 13.48s | LR: 4.427218577690299e-07
Epoch: 100/1000 | Train Loss: 0.000857 | Time: 14.48s | LR: 3.541774862152239e-07
Epoch: 101/1000 | Train Loss: 0.000857 | Time: 13.65s | LR: 3.541774862152239e-07
Epoch: 102/1000 | Train Loss: 0.000857 | Time: 14.53s | LR: 3.541774862152239e-07
Epoch: 103/1000 | Train Loss: 0.000857 | Time: 14.15s | LR: 3.541774862152239e-07
Epoch: 104/1000 | Train Loss: 0.000857 | Time: 14.95s | LR: 2.8334198897217916e-07
Epoch: 105/1000 | Train Loss: 0.000856 | Time: 14.2s | LR: 2.2667359117774333e-07
Epoch: 106/1000 | Train Loss: 0.000856 | Time: 15.65s | LR: 1.8133887294219468e-07
Epoch: 107/1000 | Train Loss: 0.000856 | Time: 14.67s | LR: 1.8133887294219468e-07
Epoch: 108/1000 | Train Loss: 0.000856 | Time: 14.13s | LR: 1.4507109835375577e-07
Epoch: 109/1000 | Train Loss: 0.000855 | Time: 13.56s | LR: 1.4507109835375577e-07
Epoch: 110/1000 | Train Loss: 0.000856 | Time: 14.05s | LR: 1.1605687868300462e-07
Epoch: 111/1000 | Train Loss: 0.000855 | Time: 14.96s | LR: 1.1605687868300462e-07
Epoch: 112/1000 | Train Loss: 0.000856 | Time: 14.62s | LR: 9.28455029464037e-08
Epoch: 113/1000 | Train Loss: 0.000855 | Time: 14.5s | LR: 9.28455029464037e-08
Epoch: 114/1000 | Train Loss: 0.000855 | Time: 14.3s | LR: 9.28455029464037e-08
Epoch: 115/1000 | Train Loss: 0.000855 | Time: 14.19s | LR: 9.28455029464037e-08
Epoch: 116/1000 | Train Loss: 0.000855 | Time: 14.56s | LR: 9.28455029464037e-08
Epoch: 117/1000 | Train Loss: 0.000855 | Time: 14.52s | LR: 7.427640235712297e-08
Epoch: 118/1000 | Train Loss: 0.000855 | Time: 14.23s | LR: 5.942112188569838e-08
Epoch: 119/1000 | Train Loss: 0.000855 | Time: 14.01s | LR: 5.942112188569838e-08
Epoch: 120/1000 | Train Loss: 0.000855 | Time: 15.24s | LR: 4.753689750855871e-08
Epoch: 121/1000 | Train Loss: 0.000855 | Time: 17.85s | LR: 4.753689750855871e-08
Epoch: 122/1000 | Train Loss: 0.000855 | Time: 19.2s | LR: 3.8029518006846967e-08
Epoch: 123/1000 | Train Loss: 0.000855 | Time: 19.34s | LR: 3.0423614405477575e-08
Epoch: 124/1000 | Train Loss: 0.000855 | Time: 19.02s | LR: 3.0423614405477575e-08
Epoch: 125/1000 | Train Loss: 0.000855 | Time: 18.6s | LR: 2.4338891524382062e-08
Epoch: 126/1000 | Train Loss: 0.000855 | Time: 19.01s | LR: 1.9471113219505653e-08
Epoch: 127/1000 | Train Loss: 0.000855 | Time: 18.96s | LR: 1.5576890575604524e-08
Epoch: 128/1000 | Train Loss: 0.000855 | Time: 18.93s | LR: 1.246151246048362e-08
Epoch: 129/1000 | Train Loss: 0.000855 | Time: 20.61s | LR: 1.246151246048362e-08
Epoch: 130/1000 | Train Loss: 0.000855 | Time: 21.56s | LR: 9.969209968386896e-09
