nohup: ignoring input
Epoch 2/100 | Step 1900/11397 | G=30.482, D=0.538
Epoch 2/100 | Step 2000/11397 | G=30.489, D=0.539
Epoch 2/100 | Step 2100/11397 | G=30.484, D=0.539
Epoch 2/100 | Step 2200/11397 | G=30.457, D=0.539
Epoch 2/100 | Step 2300/11397 | G=30.438, D=0.539
Epoch 2/100 | Step 2400/11397 | G=30.392, D=0.539
Epoch 2/100 | Step 2500/11397 | G=30.408, D=0.539
Epoch 2/100 | Step 2600/11397 | G=30.391, D=0.539
Epoch 2/100 | Step 2700/11397 | G=30.424, D=0.538
Epoch 2/100 | Step 2800/11397 | G=30.423, D=0.539
Epoch 2/100 | Step 2900/11397 | G=30.436, D=0.539
Epoch 2/100 | Step 3000/11397 | G=30.438, D=0.539
Epoch 2/100 | Step 3100/11397 | G=30.433, D=0.540
Epoch 2/100 | Step 3200/11397 | G=30.408, D=0.540
Epoch 2/100 | Step 3300/11397 | G=30.412, D=0.540
Epoch 2/100 | Step 3400/11397 | G=30.402, D=0.540
Epoch 2/100 | Step 3500/11397 | G=30.392, D=0.540
Epoch 2/100 | Step 3600/11397 | G=30.356, D=0.541
Epoch 2/100 | Step 3700/11397 | G=30.336, D=0.541
Epoch 2/100 | Step 3800/11397 | G=30.335, D=0.541
Epoch 2/100 | Step 3900/11397 | G=30.306, D=0.541
Epoch 2/100 | Step 4000/11397 | G=30.311, D=0.541
Epoch 2/100 | Step 4100/11397 | G=30.303, D=0.541
Epoch 2/100 | Step 4200/11397 | G=30.299, D=0.542
Epoch 2/100 | Step 4300/11397 | G=30.273, D=0.542
Epoch 2/100 | Step 4400/11397 | G=30.266, D=0.542
Epoch 2/100 | Step 4500/11397 | G=30.254, D=0.542
Epoch 2/100 | Step 4600/11397 | G=30.244, D=0.542
Epoch 2/100 | Step 4700/11397 | G=30.237, D=0.542
Epoch 2/100 | Step 4800/11397 | G=30.228, D=0.542
Epoch 2/100 | Step 4900/11397 | G=30.211, D=0.542
Epoch 2/100 | Step 5000/11397 | G=30.199, D=0.542
Epoch 2/100 | Step 5100/11397 | G=30.192, D=0.542
Epoch 2/100 | Step 5200/11397 | G=30.168, D=0.542
Epoch 2/100 | Step 5300/11397 | G=30.153, D=0.543
Epoch 2/100 | Step 5400/11397 | G=30.144, D=0.543
Epoch 2/100 | Step 5500/11397 | G=30.136, D=0.543
Epoch 2/100 | Step 5600/11397 | G=30.123, D=0.543
Epoch 2/100 | Step 5700/11397 | G=30.110, D=0.543
Epoch 2/100 | Step 5800/11397 | G=30.093, D=0.544
Epoch 2/100 | Step 5900/11397 | G=30.078, D=0.544
Epoch 2/100 | Step 6000/11397 | G=30.064, D=0.544
Epoch 2/100 | Step 6100/11397 | G=30.055, D=0.544
Epoch 2/100 | Step 6200/11397 | G=30.048, D=0.544
Epoch 2/100 | Step 6300/11397 | G=30.042, D=0.545
Epoch 2/100 | Step 6400/11397 | G=30.036, D=0.545
Epoch 2/100 | Step 6500/11397 | G=30.034, D=0.545
Epoch 2/100 | Step 6600/11397 | G=30.010, D=0.545
Epoch 2/100 | Step 6700/11397 | G=29.999, D=0.545
Epoch 2/100 | Step 6800/11397 | G=29.985, D=0.545
Epoch 2/100 | Step 6900/11397 | G=29.971, D=0.545
Epoch 2/100 | Step 7000/11397 | G=29.954, D=0.545
Epoch 2/100 | Step 7100/11397 | G=29.943, D=0.545
Epoch 2/100 | Step 7200/11397 | G=29.943, D=0.545
Epoch 2/100 | Step 7300/11397 | G=29.929, D=0.546
Epoch 2/100 | Step 7400/11397 | G=29.911, D=0.546
Epoch 2/100 | Step 7500/11397 | G=29.900, D=0.546
Epoch 2/100 | Step 7600/11397 | G=29.887, D=0.546
Epoch 2/100 | Step 7700/11397 | G=29.880, D=0.546
Epoch 2/100 | Step 7800/11397 | G=29.860, D=0.546
Epoch 2/100 | Step 7900/11397 | G=29.854, D=0.546
Epoch 2/100 | Step 8000/11397 | G=29.843, D=0.546
Epoch 2/100 | Step 8100/11397 | G=29.836, D=0.547
Epoch 2/100 | Step 8200/11397 | G=29.822, D=0.547
Epoch 2/100 | Step 8300/11397 | G=29.811, D=0.547
Epoch 2/100 | Step 8400/11397 | G=29.801, D=0.547
Epoch 2/100 | Step 8500/11397 | G=29.786, D=0.547
Epoch 2/100 | Step 8600/11397 | G=29.772, D=0.547
Epoch 2/100 | Step 8700/11397 | G=29.754, D=0.547
Epoch 2/100 | Step 8800/11397 | G=29.747, D=0.547
Epoch 2/100 | Step 8900/11397 | G=29.736, D=0.547
Epoch 2/100 | Step 9000/11397 | G=29.724, D=0.548
Epoch 2/100 | Step 9100/11397 | G=29.708, D=0.548
Epoch 2/100 | Step 9200/11397 | G=29.698, D=0.548
Epoch 2/100 | Step 9300/11397 | G=29.694, D=0.548
Epoch 2/100 | Step 9400/11397 | G=29.683, D=0.548
Epoch 2/100 | Step 9500/11397 | G=29.671, D=0.548
Epoch 2/100 | Step 9600/11397 | G=29.662, D=0.548
Epoch 2/100 | Step 9700/11397 | G=29.653, D=0.548
Epoch 2/100 | Step 9800/11397 | G=29.643, D=0.548
Epoch 2/100 | Step 9900/11397 | G=29.635, D=0.548
Epoch 2/100 | Step 10000/11397 | G=29.622, D=0.548
Epoch 2/100 | Step 10100/11397 | G=29.614, D=0.548
Epoch 2/100 | Step 10200/11397 | G=29.603, D=0.548
Epoch 2/100 | Step 10300/11397 | G=29.597, D=0.549
Epoch 2/100 | Step 10400/11397 | G=29.585, D=0.549
Epoch 2/100 | Step 10500/11397 | G=29.577, D=0.549
Epoch 2/100 | Step 10600/11397 | G=29.572, D=0.549
Epoch 2/100 | Step 10700/11397 | G=29.563, D=0.549
Epoch 2/100 | Step 10800/11397 | G=29.552, D=0.549
Epoch 2/100 | Step 10900/11397 | G=29.545, D=0.549
Epoch 2/100 | Step 11000/11397 | G=29.530, D=0.549
Epoch 2/100 | Step 11100/11397 | G=29.519, D=0.549
Epoch 2/100 | Step 11200/11397 | G=29.515, D=0.549
Epoch 2/100 | Step 11300/11397 | G=29.501, D=0.549
Epoch [2/100] | Gen Loss: 29.4861, Disc Loss: 0.5492 | Val PSNR: 14.58, Val SSIM: 0.4240
? Saved new best generator (SSIM 0.4240)
Epoch 3/100 | Step 100/11397 | G=27.511, D=0.566
Epoch 3/100 | Step 200/11397 | G=27.599, D=0.560
Epoch 3/100 | Step 300/11397 | G=27.435, D=0.561
Epoch 3/100 | Step 400/11397 | G=27.658, D=0.561
Epoch 3/100 | Step 500/11397 | G=27.638, D=0.558
Epoch 3/100 | Step 600/11397 | G=27.720, D=0.558
Epoch 3/100 | Step 700/11397 | G=27.711, D=0.558
Epoch 3/100 | Step 800/11397 | G=27.705, D=0.557
Epoch 3/100 | Step 900/11397 | G=27.681, D=0.559
Epoch 3/100 | Step 1000/11397 | G=27.668, D=0.559
Epoch 3/100 | Step 1100/11397 | G=27.611, D=0.558
Epoch 3/100 | Step 1200/11397 | G=27.577, D=0.558
Epoch 3/100 | Step 1300/11397 | G=27.588, D=0.559
Epoch 3/100 | Step 1400/11397 | G=27.610, D=0.558
Epoch 3/100 | Step 1500/11397 | G=27.664, D=0.557
Epoch 3/100 | Step 1600/11397 | G=27.633, D=0.557
Epoch 3/100 | Step 1700/11397 | G=27.631, D=0.558
Epoch 3/100 | Step 1800/11397 | G=27.604, D=0.558
Epoch 3/100 | Step 1900/11397 | G=27.626, D=0.559
Epoch 3/100 | Step 2000/11397 | G=27.621, D=0.559
